trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	key	RT_   0	onset_abs	duration
105	561.9738891124725	ITI_window	5	1	21.0	01	0.0	1.0	0.0	0.030000000000000006	1.0	1.0	0.0	0.44502687454223633	105.0	1.0			576.2231872081757	0.6915748119354248
106	562.665463924408	blockStart	0	-1	0.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	106.0	-1.0			576.9147620201111	0.0027191638946533203
106	562.6681830883026	baseline_window	1	-1	18.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	106.0	-1.0			576.9174811840057	0.48903703689575195
106	563.1572201251984	stimulus_window	2	-1	6.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	106.0	-1.0			577.4065182209015	0.19984984397888184
106	563.3570699691772	response_window	3	-1	14.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	106.0	-1.0			577.6063680648804	0.3752729892730713
106	563.6945519447327	response	3	1	14						1.0			0.5373318195343018		1.0	2		577.9438500404358	
106	563.7323429584503	feedback_window	4	1	8.0	01	0.0	1.0	1.0	0.015000000000000003	1.0	1.0	0.0	0.5373318195343018	106.0	1.0			577.9816410541534	0.3500971794128418
106	564.0824401378632	ITI_window	5	1	27.0	01	0.0	1.0	1.0	0.015000000000000003	1.0	1.0	0.0	0.5373318195343018	106.0	1.0			578.3317382335663	0.8663449287414551
107	564.9487850666046	blockStart	0	-1	0.0	01	0.0	1.0	0.0	0.04	-1.0	1.0	0.0	-1.0	107.0	-1.0			579.1980831623077	0.002683877944946289
107	564.9514689445496	baseline_window	1	-1	18.0	01	0.0	1.0	0.0	0.04	-1.0	1.0	0.0	-1.0	107.0	-1.0			579.2007670402527	0.47243809700012207
107	565.4239070415497	stimulus_window	2	-1	7.0	01	0.0	1.0	0.0	0.04	-1.0	1.0	0.0	-1.0	107.0	-1.0			579.6732051372528	0.20812392234802246
107	565.6320309638977	response_window	3	-1	11.0	01	0.0	1.0	0.0	0.04	-1.0	1.0	0.0	-1.0	107.0	-1.0			579.8813290596008	0.2918219566345215
107	565.8853409290314	response	3	1	11						1.0			0.46143388748168945		1.0	2		580.1346390247345	
107	565.9238529205322	feedback_window	4	1	11.0	01	0.0	1.0	0.0	0.04	1.0	1.0	0.0	0.46143388748168945	107.0	1.0			580.1731510162354	0.30816102027893066
107	566.2320139408112	ITI_window	5	1	32.0	01	0.0	1.0	0.0	0.04	1.0	1.0	0.0	0.46143388748168945	107.0	1.0			580.4813120365143	0.8835551738739014
108	567.1155691146851	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	108.0	-1.0			581.3648672103882	0.0026769638061523438
108	567.1182460784912	baseline_window	1	-1	19.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	108.0	-1.0			581.3675441741943	0.48891687393188477
108	567.6071629524231	stimulus_window	2	-1	7.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	108.0	-1.0			581.8564610481262	0.20819616317749023
108	567.8153591156006	response_window	3	-1	41.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	108.0	-1.0			582.0646572113037	1.1170129776000977
108	568.894415140152	response	3	0	41						1.0			1.2872521877288818		1.0	1		583.1437132358551	
108	568.9323720932007	feedback_window	4	0	10.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0		108.0	1.0		1.2872521877288818	583.1816701889038	0.3332970142364502
108	569.2656691074371	ITI_window	5	0	20.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0		108.0	1.0		1.2872521877288818	583.5149672031403	0.6497468948364258
109	569.9154160022736	blockStart	0	-1	0.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	109.0	-1.0			584.1647140979767	0.002749919891357422
109	569.9181659221649	baseline_window	1	-1	19.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	109.0	-1.0			584.167464017868	0.4887721538543701
109	570.4069380760193	stimulus_window	2	-1	7.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	109.0	-1.0			584.6562361717224	0.19199395179748535
109	570.5989320278168	response_window	3	-1	17.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	109.0	-1.0			584.8482301235199	0.45822596549987793
109	571.0109050273895	response	3	0	17						1.0			0.6039669513702393		1.0	1		585.2602031230927	
109	571.0571579933167	feedback_window	4	0	10.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0		109.0	1.0		0.6039669513702393	585.3064560890198	0.3333261013031006
109	571.3904840946198	ITI_window	5	0	28.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0		109.0	1.0		0.6039669513702393	585.6397821903229	0.9331400394439697
110	572.3236241340637	blockStart	0	-1	0.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	110.0	-1.0			586.5729222297668	0.002696990966796875
110	572.3263211250305	baseline_window	1	-1	18.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	110.0	-1.0			586.5756192207336	0.4808328151702881
110	572.8071539402008	stimulus_window	2	-1	6.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	110.0	-1.0			587.0564520359039	0.19145607948303223
110	572.9986100196838	response_window	3	-1	23.0	01	0.0	1.0	1.0	0.015000000000000003	-1.0	1.0	0.0	-1.0	110.0	-1.0			587.247908115387	0.591871976852417
110	573.5533609390259	response	3	0	23						0.0			0.7462069988250732		0.0	3		587.802659034729	
110	573.5904819965363	feedback_window	4	0	10.0	01	0.0	1.0	1.0	0.015000000000000003	0.0	1.0	0.0	0.7462069988250732	110.0	0.0			587.8397800922394	0.33330798149108887
110	573.9237899780273	ITI_window	5	0	29.0	01	0.0	1.0	1.0	0.015000000000000003	0.0	1.0	0.0	0.7462069988250732	110.0	0.0			588.1730880737305	0.8915610313415527
111	574.8153510093689	blockStart	0	-1	0.0	01	0.0	1.0	1.0	0.010000000000000002	-1.0	1.0	0.0	-1.0	111.0	-1.0			589.064649105072	0.0027561187744140625
111	574.8181071281433	baseline_window	1	-1	19.0	01	0.0	1.0	1.0	0.010000000000000002	-1.0	1.0	0.0	-1.0	111.0	-1.0			589.0674052238464	0.48870396614074707
111	575.3068110942841	stimulus_window	2	-1	7.0	01	0.0	1.0	1.0	0.010000000000000002	-1.0	1.0	0.0	-1.0	111.0	-1.0			589.5561091899872	0.19179201126098633
111	575.498603105545	response_window	3	-1	18.0	01	0.0	1.0	1.0	0.010000000000000002	-1.0	1.0	0.0	-1.0	111.0	-1.0			589.7479012012482	0.4667949676513672
111	575.926922082901	response	3	1	18						1.0			0.6201109886169434		0.0	4		590.1762201786041	
111	575.9653980731964	feedback_window	4	1	11.0	01	0.0	1.0	1.0	0.010000000000000002	1.0	1.0	0.0	0.6201109886169434	111.0	0.0			590.2146961688995	0.30802392959594727
111	576.2734220027924	ITI_window	5	1	28.0	01	0.0	1.0	1.0	0.010000000000000002	1.0	1.0	0.0	0.6201109886169434	111.0	0.0			590.5227200984955	0.9167850017547607
112	577.1902070045471	blockStart	0	-1	0.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	112.0	-1.0			591.4395051002502	0.0027399063110351562
112	577.1929469108582	baseline_window	1	-1	18.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	112.0	-1.0			591.4422450065613	0.47234201431274414
112	577.6652889251709	stimulus_window	2	-1	6.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	112.0	-1.0			591.914587020874	0.20036721229553223
112	577.8656561374664	response_window	3	-1	30.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	112.0	-1.0			592.1149542331696	0.79994797706604
112	578.6280670166016	response	3	0	30						1.0			0.9627780914306641		0.0	3		592.8773651123047	
112	578.6656041145325	feedback_window	4	0	10.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.9627780914306641	112.0	0.0			592.9149022102356	0.3333280086517334
112	578.9989321231842	ITI_window	5	0	28.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.9627780914306641	112.0	0.0			593.2482302188873	0.9331269264221191
113	579.9320590496063	blockStart	0	-1	0.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	113.0	-1.0			594.1813571453094	0.0026979446411132812
113	579.9347569942474	baseline_window	1	-1	19.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	113.0	-1.0			594.1840550899506	0.48866796493530273
113	580.4234249591827	stimulus_window	2	-1	6.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	113.0	-1.0			594.6727230548859	0.19181203842163086
113	580.6152369976044	response_window	3	-1	30.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	113.0	-1.0			594.8645350933075	0.8418610095977783
113	581.4190580844879	response	3	0	30						1.0			0.9956331253051758		0.0	3		595.668356180191	
113	581.4570980072021	feedback_window	4	0	10.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.9956331253051758	113.0	0.0			595.7063961029053	0.3247959613800049
113	581.7818939685822	ITI_window	5	0	22.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.9956331253051758	113.0	0.0			596.0311920642853	0.7335319519042969
114	582.5154259204865	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	114.0	-1.0			596.7647240161896	0.0027370452880859375
114	582.5181629657745	baseline_window	1	-1	19.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	114.0	-1.0			596.7674610614777	0.4886009693145752
114	583.0067639350891	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	114.0	-1.0			597.2560620307922	0.20028901100158691
114	583.2070529460907	response_window	3	-1	23.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	114.0	-1.0			597.4563510417938	0.6085240840911865
114	583.7820870876312	response	3	0	23						1.0			0.7753231525421143		0.0	3		598.0313851833344	
114	583.8155770301819	feedback_window	4	0	10.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.7753231525421143	114.0	0.0			598.064875125885	0.3162879943847656
114	584.1318650245667	ITI_window	5	0	26.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.7753231525421143	114.0	0.0			598.3811631202698	0.7834250926971436
115	584.9152901172638	blockStart	0	-1	0.0	01	0.0	1.0	0.0	0.05	-1.0	1.0	0.0	-1.0	115.0	-1.0			599.1645882129669	0.002708911895751953
115	584.9179990291595	baseline_window	1	-1	19.0	01	0.0	1.0	0.0	0.05	-1.0	1.0	0.0	-1.0	115.0	-1.0			599.1672971248627	0.48911404609680176
115	585.4071130752563	stimulus_window	2	-1	6.0	01	0.0	1.0	0.0	0.05	-1.0	1.0	0.0	-1.0	115.0	-1.0			599.6564111709595	0.19993185997009277
115	585.6070449352264	response_window	3	-1	19.0	01	0.0	1.0	0.0	0.05	-1.0	1.0	0.0	-1.0	115.0	-1.0			599.8563430309296	0.5000081062316895
115	586.0691139698029	response	3	1	19						1.0			0.6620008945465088		1.0	2		600.318412065506	
115	586.1070530414581	feedback_window	4	1	10.0	01	0.0	1.0	0.0	0.05	1.0	1.0	0.0	0.6620008945465088	115.0	1.0			600.3563511371613	0.3333261013031006
115	586.4403791427612	ITI_window	5	1	20.0	01	0.0	1.0	0.0	0.05	1.0	1.0	0.0	0.6620008945465088	115.0	1.0			600.6896772384644	0.658369779586792
116	587.098748922348	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	116.0	-1.0			601.3480470180511	0.0026400089263916016
116	587.1013889312744	baseline_window	1	-1	18.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	116.0	-1.0			601.3506870269775	0.46414899826049805
116	587.5655379295349	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	116.0	-1.0			601.814836025238	0.19162702560424805
116	587.7571649551392	response_window	3	-1	13.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	116.0	-1.0			602.0064630508423	0.3750171661376953
116	588.099189043045	response	3	0	13						1.0			0.5336511135101318		0.0	3		602.3484871387482	
