trial_nr	onset	event_type	phase	response	nr_frames	flicker_speed	onset_abs	duration
4	95.99128603935242	pulse	1	t		134.0	127.24956822395325	
4	97.49129009246826	pulse	1	t		134.0	128.7495722770691	
4	98.99124121665955	pulse	1	t		134.0	130.24952340126038	
4	100.49131202697754	pulse	1	t		134.0	131.74959421157837	
4	101.99112200737	pulse	1	t		134.0	133.24940419197083	
4	103.49077320098877	pulse	1	t		134.0	134.7490553855896	
4	104.99127221107483	pulse	1	t		134.0	136.24955439567566	
4	106.49149417877197	pulse	1	t		134.0	137.7497763633728	
4	107.99117922782898	pulse	1	t		134.0	139.2494614124298	
4	107.99938702583313	stim	2		1531.0	134.0	139.25766921043396	12.758393049240112
4	109.49123620986938	pulse	2	t		134.0	140.74951839447021	
4	110.99121904373169	pulse	2	t		134.0	142.24950122833252	
4	112.49119210243225	pulse	2	t		134.0	143.74947428703308	
4	113.99113011360168	pulse	2	t		134.0	145.24941229820251	
4	115.49126505851746	pulse	2	t		134.0	146.7495472431183	
4	116.99112319946289	pulse	2	t		134.0	148.24940538406372	
4	118.49121904373169	pulse	2	t		134.0	149.74950122833252	
4	119.99107313156128	pulse	2	t		134.0	151.2493553161621	
5	120.75778007507324	stim	0		89.0	134.0	152.01606225967407	0.7416019439697266
5	121.49116516113281	pulse	0	t		134.0	152.74944734573364	
5	121.49938201904297	stim	1		1621.0	134.0	152.7576642036438	13.50829815864563
5	122.99102902412415	pulse	1	t		134.0	154.24931120872498	
5	124.4911060333252	pulse	1	t		134.0	155.74938821792603	
5	125.99117112159729	pulse	1	t		134.0	157.24945330619812	
5	127.49110722541809	pulse	1	t		134.0	158.74938941001892	
5	128.99115014076233	pulse	1	t		134.0	160.24943232536316	
5	130.49108719825745	pulse	1	t		134.0	161.74936938285828	
5	131.99110007286072	pulse	1	t		134.0	163.24938225746155	
5	133.49110507965088	pulse	1	t		134.0	164.7493872642517	
5	134.99111223220825	pulse	1	t		134.0	166.24939441680908	
5	135.0076801776886	stim	2		1530.0	134.0	166.26596236228943	12.749953031539917
5	136.4911651611328	pulse	2	t		134.0	167.74944734573364	
5	137.9910171031952	pulse	2	t		134.0	169.24929928779602	
5	139.49098205566406	pulse	2	t		134.0	170.7492642402649	
5	140.99096012115479	pulse	2	t		134.0	172.24924230575562	
5	142.49092507362366	pulse	2	t		134.0	173.7492072582245	
5	143.9909942150116	pulse	2	t		134.0	175.24927639961243	
5	145.49117517471313	pulse	2	t		134.0	176.74945735931396	
5	146.9910581111908	pulse	2	t		134.0	178.24934029579163	
6	147.75763320922852	stim	0		89.0	134.0	179.01591539382935	0.7416689395904541
6	148.49105310440063	pulse	0	t		134.0	179.74933528900146	
6	148.49930214881897	stim	1		1620.0	134.0	179.7575843334198	13.5001699924469
6	149.9910910129547	pulse	1	t		134.0	181.24937319755554	
6	151.4910020828247	pulse	1	t		134.0	182.74928426742554	
6	152.9910011291504	pulse	1	t		134.0	184.24928331375122	
6	154.49097323417664	pulse	1	t		134.0	185.74925541877747	
6	155.99097108840942	pulse	1	t		134.0	187.24925327301025	
6	157.49108910560608	pulse	1	t		134.0	188.7493712902069	
6	158.99100422859192	pulse	1	t		134.0	190.24928641319275	
6	160.49096608161926	pulse	1	t		134.0	191.7492482662201	
6	161.9911651611328	pulse	1	t		134.0	193.24944734573364	
6	161.99947214126587	stim	2		1531.0	134.0	193.2577543258667	12.75801396369934
6	163.49099802970886	pulse	2	t		134.0	194.7492802143097	
6	164.99098420143127	pulse	2	t		134.0	196.2492663860321	
6	166.49102902412415	pulse	2	t		134.0	197.74931120872498	
6	167.9908812046051	pulse	2	t		134.0	199.24916338920593	
6	169.49092602729797	pulse	2	t		134.0	200.7492082118988	
6	170.99086713790894	pulse	2	t		134.0	202.24914932250977	
6	172.49098110198975	pulse	2	t		134.0	203.74926328659058	
6	173.9908471107483	pulse	2	t		134.0	205.24912929534912	
7	174.7574861049652	stim	0		89.0	134.0	206.01576828956604	0.741753101348877
7	175.49082016944885	pulse	0	t		134.0	206.74910235404968	
7	175.4992392063141	stim	1		1621.0	134.0	206.75752139091492	13.508168935775757
7	176.99073314666748	pulse	1	t		134.0	208.2490153312683	
7	178.4908471107483	pulse	1	t		134.0	209.74912929534912	
7	179.99081802368164	pulse	1	t		134.0	211.24910020828247	
7	181.49087715148926	pulse	1	t		134.0	212.7491593360901	
7	182.99086117744446	pulse	1	t		134.0	214.2491433620453	
7	184.49085021018982	pulse	1	t		134.0	215.74913239479065	
7	185.99082207679749	pulse	1	t		134.0	217.24910426139832	
7	187.49080300331116	pulse	1	t		134.0	218.749085187912	
7	188.99083018302917	pulse	1	t		134.0	220.24911236763	
7	189.00740814208984	stim	2		1530.0	134.0	220.26569032669067	12.749971866607666
7	190.4908230304718	pulse	2	t		134.0	221.74910521507263	
7	191.99084901809692	pulse	2	t		134.0	223.24913120269775	
7	193.49079418182373	pulse	2	t		134.0	224.74907636642456	
7	194.9907681941986	pulse	2	t		134.0	226.24905037879944	
7	196.4907910823822	pulse	2	t		134.0	227.74907326698303	
7	197.99073815345764	pulse	2	t		134.0	229.24902033805847	
7	199.4907932281494	pulse	2	t		134.0	230.74907541275024	
7	200.99085807800293	pulse	2	t		134.0	232.24914026260376	
8	201.7573800086975	stim	0		89.0	134.0	233.01566219329834	0.7416160106658936
8	202.49081110954285	pulse	0	t		134.0	233.74909329414368	
8	202.4989960193634	stim	1		1621.0	134.0	233.75727820396423	13.507907152175903
8	203.99077010154724	pulse	1	t		134.0	235.24905228614807	
8	205.4907341003418	pulse	1	t		134.0	236.74901628494263	
8	206.99069905281067	pulse	1	t		134.0	238.2489812374115	
8	208.49067211151123	pulse	1	t		134.0	239.74895429611206	
8	209.99076104164124	pulse	1	t		134.0	241.24904322624207	
8	211.49063920974731	pulse	1	t		134.0	242.74892139434814	
8	212.99074411392212	pulse	1	t		134.0	244.24902629852295	
8	214.49069023132324	pulse	1	t		134.0	245.74897241592407	
8	215.99078822135925	pulse	1	t		134.0	247.24907040596008	
8	216.0069031715393	stim	2		1530.0	134.0	247.26518535614014	12.75876784324646
8	217.49048900604248	pulse	2	t		134.0	248.7487711906433	
8	218.99074816703796	pulse	2	t		134.0	250.2490303516388	
8	220.49070715904236	pulse	2	t		134.0	251.7489893436432	
8	221.99067902565002	pulse	2	t		134.0	253.24896121025085	
8	223.4906451702118	pulse	2	t		134.0	254.74892735481262	
8	224.9906370639801	pulse	2	t		134.0	256.24891924858093	
8	226.490620136261	pulse	2	t		134.0	257.7489023208618	
8	227.9906451702118	pulse	2	t		134.0	259.2489273548126	
