trial_nr	onset	event_type	phase	response	nr_frames	flicker_speed	onset_abs	duration
3	94.39138913154602	pulse	2	t		134.0	135.1132481098175	
3	95.99129796028137	pulse	2	t		134.0	136.71315693855286	
3	97.59134697914124	pulse	2	t		134.0	138.31320595741272	
3	98.59127402305603	response	2	b		134.0	139.31313300132751	
3	99.19120502471924	pulse	2	t		134.0	139.91306400299072	
3	100.79131412506104	pulse	2	t		134.0	141.51317310333252	
4	101.60784101486206	stim	0		95.0	134.0	142.32969999313354	0.7916700839996338
4	102.39126801490784	pulse	0	t		134.0	143.11312699317932	
4	102.3995110988617	stim	1		361.0	134.0	143.12137007713318	3.0082578659057617
4	102.40750408172607	response	1	b		134.0	143.12936305999756	
4	103.991219997406	pulse	1	t		134.0	144.7130789756775	
4	105.40776896476746	stim	2		1848.0	134.0	146.12962794303894	15.400053024291992
4	105.59136509895325	pulse	2	t		134.0	146.31322407722473	
4	107.19128012657166	pulse	2	t		134.0	147.91313910484314	
4	107.82452392578125	response	2	b		134.0	148.54638290405273	
4	108.7913269996643	pulse	2	t		134.0	149.5131859779358	
4	110.39121198654175	pulse	2	t		134.0	151.11307096481323	
4	111.99127697944641	pulse	2	t		134.0	152.7131359577179	
4	112.88285493850708	response	2	b		134.0	153.60471391677856	
4	113.59118103981018	pulse	2	t		134.0	154.31304001808167	
4	115.19127297401428	pulse	2	t		134.0	155.91313195228577	
4	116.79117512702942	pulse	2	t		134.0	157.5130341053009	
4	118.1161630153656	response	2	b		134.0	158.83802199363708	
4	118.39120697975159	pulse	2	t		134.0	159.11306595802307	
4	119.99124503135681	pulse	2	t		134.0	160.7131040096283	
5	120.80782198905945	stim	0		95.0	134.0	161.52968096733093	0.7915880680084229
5	121.59122109413147	pulse	0	t		134.0	162.31308007240295	
5	121.59941005706787	stim	1		361.0	134.0	162.32126903533936	3.0082690715789795
5	121.9577751159668	response	1	b		134.0	162.67963409423828	
5	123.1911211013794	pulse	1	t		134.0	163.91298007965088	
5	124.60767912864685	stim	2		1848.0	134.0	165.32953810691833	15.40000581741333
5	124.79119110107422	pulse	2	t		134.0	165.5130500793457	
5	126.39117193222046	pulse	2	t		134.0	167.11303091049194	
5	127.99120712280273	pulse	2	t		134.0	168.71306610107422	
