trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
12	72.47413301467896	stim	0		120	141.81190013885498	0.9999639987945557
12	73.47409701347351	stim	1		68	142.81186413764954	0.566403865814209
12	74.04050087928772	stim	2		16	143.37826800346375	0.13344407081604004
12	74.17394495010376	stim	3		60	143.51171207427979	0.5002260208129883
12	74.67417097091675	stim	4		58	144.01193809509277	0.6852669715881348
12	75.1408839225769	response	4	space		144.47865104675293	
12	75.35943794250488	stim	5		60	144.6972050666809	0.49799108505249023
13	75.85742902755737	stim	0		120	145.1951961517334	1.0000059604644775
13	76.85743498802185	stim	1		62	146.19520211219788	0.5163569450378418
13	77.37379193305969	stim	2		32	146.71155905723572	0.26712608337402344
13	77.64091801643372	stim	3		60	146.97868514060974	0.4998199939727783
13	78.1407380104065	stim	4		69	147.47850513458252	0.9853689670562744
13	78.69926500320435	response	4	space		148.03703212738037	
13	79.12610697746277	stim	5		60	148.4638741016388	0.4979560375213623
14	79.62406301498413	stim	0		120	148.96183013916016	1.0000109672546387
14	80.62407398223877	stim	1		62	149.9618411064148	0.5163249969482422
14	81.14039897918701	stim	2		64	150.47816610336304	0.5334789752960205
14	81.67387795448303	stim	3		60	151.01164507865906	0.5001919269561768
14	82.17406988143921	stim	4		79	151.51183700561523	1.3686881065368652
14	82.81591200828552	response	4	space		152.15367913246155	
14	83.54275798797607	stim	5		60	152.8805251121521	0.4979839324951172
15	84.04074192047119	stim	0		120	153.37850904464722	0.9999608993530273
15	85.04070281982422	stim	1		55	154.37846994400024	0.4580800533294678
15	85.49878287315369	stim	2		256	154.8365499973297	2.1333749294281006
15	87.63215780258179	stim	3		60	156.9699249267578	0.5001981258392334
15	88.13235592842102	stim	4		66	157.47012305259705	2.735365867614746
15	88.66581988334656	response	4	space		158.00358700752258	
15	90.86772179603577	stim	5		60	160.2054889202118	0.4980471134185791
16	91.36576890945435	stim	0		120	160.70353603363037	0.9999380111694336
16	92.36570692062378	stim	1		71	161.7034740447998	0.5913228988647461
16	92.95702981948853	stim	2		16	162.29479694366455	0.13365507125854492
16	93.09068489074707	stim	3		60	162.4284520149231	0.5000500679016113
16	93.59073495864868	stim	4		96	162.9285020828247	1.3436329364776611
16	94.37415194511414	response	4	space		163.71191906929016	
16	94.93436789512634	stim	5		60	164.27213501930237	0.4979579448699951
17	95.43232583999634	stim	0		120	164.77009296417236	1.0000011920928955
17	96.43232703208923	stim	1		68	165.77009415626526	0.5663468837738037
